Timp (s);Stare (1=Low, 0=High);Descriere
0,00;0;HIGH BEAM
0,03;0;HIGH BEAM
0,07;0;HIGH BEAM
0,10;0;HIGH BEAM
0,13;0;HIGH BEAM
0,17;0;HIGH BEAM
0,20;0;HIGH BEAM
0,23;0;HIGH BEAM
0,27;0;HIGH BEAM
0,30;0;HIGH BEAM
0,33;0;HIGH BEAM
0,37;0;HIGH BEAM
0,40;0;HIGH BEAM
0,43;0;HIGH BEAM
0,47;0;HIGH BEAM
0,50;0;HIGH BEAM
0,53;0;HIGH BEAM
0,57;0;HIGH BEAM
0,60;0;HIGH BEAM
0,63;0;HIGH BEAM
0,67;0;HIGH BEAM
0,70;0;HIGH BEAM
0,73;0;HIGH BEAM
0,77;0;HIGH BEAM
0,80;0;HIGH BEAM
0,83;0;HIGH BEAM
0,87;0;HIGH BEAM
0,90;0;HIGH BEAM
0,93;0;HIGH BEAM
0,97;0;HIGH BEAM
1,00;0;HIGH BEAM
1,03;0;HIGH BEAM
1,07;0;HIGH BEAM
1,10;0;HIGH BEAM
1,13;0;HIGH BEAM
1,17;0;HIGH BEAM
1,20;0;HIGH BEAM
1,23;0;HIGH BEAM
1,27;0;HIGH BEAM
1,30;0;HIGH BEAM
1,33;0;HIGH BEAM
1,37;0;HIGH BEAM
1,40;0;HIGH BEAM
1,43;0;HIGH BEAM
1,47;0;HIGH BEAM
1,50;0;HIGH BEAM
1,53;0;HIGH BEAM
1,57;0;HIGH BEAM
1,60;0;HIGH BEAM
1,63;0;HIGH BEAM
1,67;0;HIGH BEAM
1,70;0;HIGH BEAM
1,73;0;HIGH BEAM
1,77;0;HIGH BEAM
1,80;0;HIGH BEAM
1,83;0;HIGH BEAM
1,87;0;HIGH BEAM
1,90;1;LOW BEAM
1,93;1;LOW BEAM
1,97;1;LOW BEAM
2,00;1;LOW BEAM
2,03;1;LOW BEAM
2,07;1;LOW BEAM
2,10;1;LOW BEAM
2,13;1;LOW BEAM
2,17;1;LOW BEAM
2,20;1;LOW BEAM
2,23;1;LOW BEAM
2,27;1;LOW BEAM
2,30;1;LOW BEAM
2,33;1;LOW BEAM
2,37;1;LOW BEAM
2,40;1;LOW BEAM
2,43;1;LOW BEAM
2,47;1;LOW BEAM
2,50;1;LOW BEAM
2,53;1;LOW BEAM
2,57;1;LOW BEAM
2,60;1;LOW BEAM
2,63;1;LOW BEAM
2,67;1;LOW BEAM
2,70;1;LOW BEAM
2,73;1;LOW BEAM
2,77;1;LOW BEAM
2,80;1;LOW BEAM
2,83;1;LOW BEAM
2,87;1;LOW BEAM
2,90;1;LOW BEAM
2,93;1;LOW BEAM
2,97;1;LOW BEAM
3,00;1;LOW BEAM
3,03;1;LOW BEAM
3,07;1;LOW BEAM
3,10;0;HIGH BEAM
3,13;0;HIGH BEAM
3,17;0;HIGH BEAM
3,20;0;HIGH BEAM
3,23;0;HIGH BEAM
3,27;0;HIGH BEAM
3,30;0;HIGH BEAM
3,33;0;HIGH BEAM
3,37;0;HIGH BEAM
3,40;0;HIGH BEAM
3,43;0;HIGH BEAM
3,47;0;HIGH BEAM
3,50;0;HIGH BEAM
3,53;0;HIGH BEAM
3,57;0;HIGH BEAM
3,60;0;HIGH BEAM
3,63;0;HIGH BEAM
3,67;0;HIGH BEAM
3,70;0;HIGH BEAM
3,73;0;HIGH BEAM
3,77;0;HIGH BEAM
3,80;0;HIGH BEAM
3,83;0;HIGH BEAM
3,87;0;HIGH BEAM
3,90;0;HIGH BEAM
3,93;0;HIGH BEAM
3,97;0;HIGH BEAM
4,00;0;HIGH BEAM
4,03;0;HIGH BEAM
4,07;1;LOW BEAM
4,10;1;LOW BEAM
4,13;1;LOW BEAM
4,17;0;HIGH BEAM
4,20;0;HIGH BEAM
4,23;0;HIGH BEAM
4,27;0;HIGH BEAM
4,30;0;HIGH BEAM
4,33;0;HIGH BEAM
4,37;0;HIGH BEAM
4,40;0;HIGH BEAM
4,43;0;HIGH BEAM
4,47;0;HIGH BEAM
4,50;0;HIGH BEAM
4,53;0;HIGH BEAM
4,57;0;HIGH BEAM
4,60;0;HIGH BEAM
4,63;0;HIGH BEAM
4,67;0;HIGH BEAM
4,70;0;HIGH BEAM
4,73;0;HIGH BEAM
4,77;0;HIGH BEAM
4,80;0;HIGH BEAM
4,83;0;HIGH BEAM
4,87;0;HIGH BEAM
4,90;0;HIGH BEAM
4,93;0;HIGH BEAM
4,97;0;HIGH BEAM
5,00;0;HIGH BEAM
5,03;0;HIGH BEAM
5,07;0;HIGH BEAM
5,10;0;HIGH BEAM
5,13;0;HIGH BEAM
5,17;0;HIGH BEAM
5,20;0;HIGH BEAM
5,23;0;HIGH BEAM
5,27;0;HIGH BEAM
5,30;0;HIGH BEAM
5,33;0;HIGH BEAM
5,37;0;HIGH BEAM
5,40;0;HIGH BEAM
5,43;0;HIGH BEAM
5,47;0;HIGH BEAM
5,50;0;HIGH BEAM
5,53;0;HIGH BEAM
5,57;0;HIGH BEAM
5,60;0;HIGH BEAM
5,63;0;HIGH BEAM
5,67;0;HIGH BEAM
5,70;0;HIGH BEAM
5,73;0;HIGH BEAM
5,77;0;HIGH BEAM
5,80;0;HIGH BEAM
5,83;0;HIGH BEAM
5,87;0;HIGH BEAM
5,90;0;HIGH BEAM
5,93;0;HIGH BEAM
5,97;0;HIGH BEAM
6,00;0;HIGH BEAM
